,0,1,2,3,4,5
0,商品货号,商品名称与描述,数量,商品单价,税率,金额
1,904.657.35,NISSAFORS 耐斯弗思 手推车 50.5x30x83 白色 AP,1,149.00,13 %,¥ 149.00
2,302.316.31,RIGGA丽加 晒衣架 白色 AP CN,1,129.00,13 %,¥ 129.00
3,604.525.84,PLATSA 普拉萨 开放式搁架单元 60x40x40 白色 AP,1,200.00,13 %,¥ 200.00
4,005.464.68,UPPDATERA 乌普道拉 盒子 24x17 白色 AP,6,14.99,13 %,¥ 89.94
5,105.371.71,ÅKERBÄR 阿克巴 塑料制温室罩 45 室内/户外/白色 AP,1,129.00,13 %,¥ 129.00
6,203.955.95,LÄTTHET 莱特赫特 支腿 11 白色/金属 4件 AP,1,60.00,13 %,¥ 60.00
7,005.582.15,BRUKSVARA 布瓦拉 晒衣架 78x147 蓝色 AP,1,99.99,13 %,¥ 99.99
8,303.862.46,耶勒帕 搁板 60x40 白色 Metal AP,2,50.00,13 %,¥ 100.00
9,601.864.01,勒伯格 搁板柜 60x148 深灰色 AP CN,2,99.99,13 %,¥ 199.98
10,105.598.27,BRUKSVARA 布瓦拉 4盒储物单元 40x104 褐色/深灰色 AP,1,349.00,13 %,¥ 349.00
11,005.703.35,KORVTRÄD 科夫特莱 挂钟 28 多色 LVM AP,1,49.99,13 %,¥ 49.99
12,702.756.18,OXBERG 奥克伯 玻璃门 40x192 白色 AP CN,2,150.00,13 %,¥ 300.00
13,103.869.83,HJÄLPA 耶勒帕 缓慢关闭合叶 AP,4,20.00,13 %,¥ 80.00
14,304.342.09,SMÅSTAD 斯玛斯塔 柜门 30x120 仿桦木 2件 AP,1,240.00,13 %,¥ 240.00
15,500.008.75,到店自提,1,0.00,13 %,¥ 0.00
